,Inflation ,All-items excluding food and energy 7
17-Jan,,124.3
17-Feb,0.40%,124.8
17-Mar,0.32%,125.2
17-Apr,0.00%,125.2
17-May,0.24%,125.5
17-Jun,0.08%,125.6
17-Jul,0.00%,125.6
17-Aug,0.00%,125.6
17-Sep,0.16%,125.8
17-Oct,0.32%,126.2
17-Nov,0.00%,126.2
17-Dec,-0.48%,125.6
18-Jan,0.48%,126.2
18-Feb,0.71%,127.1
18-Mar,0.39%,127.6
18-Apr,-0.08%,127.5
18-May,0.08%,127.6
18-Jun,0.16%,127.8
18-Jul,0.55%,128.5
18-Aug,0.00%,128.5
18-Sep,-0.31%,128.1
18-Oct,0.55%,128.8
18-Nov,-0.31%,128.4
18-Dec,0.08%,128.5
19-Jan,0.08%,128.6
19-Feb,0.78%,129.6
19-Mar,0.31%,130
19-Apr,0.08%,130.1
19-May,0.46%,130.7
19-Jun,0.08%,130.8
19-Jul,0.38%,131.3
19-Aug,0.00%,131.3
19-Sep,-0.38%,130.8
19-Oct,0.46%,131.4
19-Nov,-0.30%,131
19-Dec,-0.15%,130.8
20-Jan,0.15%,131
20-Feb,0.84%,132.1
20-Mar,0.08%,132.2
20-Apr,-0.30%,131.8
20-May,-0.23%,131.5
20-Jun,0.46%,132.1
20-Jul,-0.15%,131.9
20-Aug,0.00%,131.9
20-Sep,0.00%,131.9
20-Oct,0.45%,132.5
20-Nov,0.15%,132.7
20-Dec,-0.38%,132.2
21-Jan,0.45%,132.8
21-Feb,0.23%,133.1
21-Mar,0.23%,133.4
21-Apr,0.60%,134.2
21-May,0.30%,134.6
21-Jun,0.30%,135
21-Jul,0.44%,135.6
21-Aug,0.22%,135.9
21-Sep,0.22%,136.2
21-Oct,0.44%,136.8
21-Nov,0.00%,136.8
21-Dec,-0.07%,136.7
22-Jan,0.59%,137.5
22-Feb,0.58%,138.3
22-Mar,0.94%,139.6
22-Apr,0.57%,140.4
22-May,0.85%,141.6
22-Jun,0.42%,142.2
22-Jul,0.63%,143.1
22-Aug,0.00%,143.1
22-Sep,0.35%,143.6
22-Oct,0.35%,144.1
22-Nov,0.07%,144.2
22-Dec,-0.14%,144
23-Jan,0.21%,144.3
23-Feb,0.49%,145
23-Mar,0.62%,145.9
23-Apr,0.48%,146.6
23-May,0.41%,147.2
23-Jun,0.00%,147.2
23-Jul,0.54%,148
23-Aug,0.20%,148.3
23-Sep,-0.07%,148.2
23-Oct,0.54%,149
23-Nov,0.20%,149.3
23-Dec,-0.27%,148.9