,,,,,,,,Supply and Disposition of NGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Unit = m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Run Date:  26 March 2018,,,,,,,,,,,,,,,Year To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2017,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2018,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2019,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2020,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2021,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2022,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2023
,Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Opening Inventory,"578,202.40","494,874.30","379,897.90","384,956.80","528,499.60","560,887.40","587,259.40","480,343.60","461,309.40","523,978.40","417,055.60","487,926.20",,"578,202.40","607,862.90","489,981.60","494,948.80","341,427.10","380,551.90","568,125.60","692,912.90","777,851.40","751,969.20","892,669.20","823,472.60","741,543.90",,"607,862.90","589,625.50","444,795.70","395,459.50","382,218.20","434,126.70","365,807.10","367,531.00","382,052.00","393,812.50","524,971.90","447,596.30","397,137.70",,"589,625.50","398,254.60","477,187.80","429,878.90","532,487.10","482,499.40","612,039.30","659,675.40","704,829.90","847,480.80","716,227.30","538,372.70","539,963.20",,"398,254.60","569,279.30","546,488.10","505,603.60","532,140.30","642,282.40","713,137.60","898,473.90","967,212.90","1,117,886.30","1,095,757.00","877,453.90","818,655.90",,"569,279.30","736,164.90","728,527.00","696,388.80","672,716.10","722,111.70","722,000.00","630,633.50","655,692.30","661,326.80","782,683.10","652,971.80","623,242.50",,"736,164.90","672,669.20","512,420.10","439,265.30","393,183.40","460,762.40","491,680.30","533,843.60","618,580.40","731,785.00","1,051,198.20","804,167.10", -   ,,"672,669.20"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plant/Gathering System Process,"1,783,871.80","1,578,397.90","1,809,248.10","1,627,159.30","1,636,067.40","1,519,140.50","1,732,927.00","1,665,998.70","1,695,247.60","1,720,594.00","1,716,337.70","1,861,086.60",,"20,346,076.60","1,827,842.80","1,625,225.50","1,780,341.70","1,731,343.70","1,657,663.70","1,579,378.30","1,722,134.90","1,856,736.20","1,776,405.60","1,894,907.80","1,861,215.40","2,009,587.80",,"21,322,783.40","1,932,159.50","1,645,726.60","1,938,105.70","1,814,875.40","1,840,722.60","1,807,231.70","1,805,331.90","1,921,931.80","1,810,063.30","1,774,720.00","1,886,892.70","1,941,568.20",,"22,119,329.40","1,880,051.20","1,831,212.10","1,877,281.50","1,803,837.80","1,791,269.60","1,742,361.40","1,821,493.10","1,793,711.90","1,669,000.20","1,784,601.30","1,807,189.30","1,887,391.50",,"21,689,400.90","1,942,578.90","1,674,698.50","1,927,439.60","1,867,991.00","1,844,777.00","1,733,477.10","1,807,959.10","1,785,001.30","1,525,721.20","1,806,588.20","1,828,656.70","1,853,962.80",,"21,598,851.40","1,896,645.50","1,786,915.90","2,054,617.40","1,970,785.70","1,816,217.80","1,808,994.80","1,956,063.90","1,880,340.90","1,892,056.60","1,984,118.30","1,876,308.20","1,976,185.20",,"22,899,250.20","1,987,105.20","1,784,053.00","1,980,901.90","1,808,522.50","1,570,175.40","1,728,529.90","2,133,273.10","2,075,912.50","1,878,447.90","1,988,595.30","2,000,292.40", -   ,,"20,935,809.10"
,,Oil Sands Facility Process,"144,477.20","127,869.50","100,834.00","93,626.40","132,206.90","160,265.60","167,509.70","150,937.20","125,055.50","104,843.20","169,394.00","170,989.40",,"1,648,008.60","114,878.80","169,252.40","196,946.90","123,801.30","131,389.60","151,046.60","206,439.30","185,573.20","114,820.70","174,054.20","175,847.00","164,141.20",,"1,908,191.20","195,620.90","138,096.60","178,441.20","157,306.00","116,345.20","154,516.50","131,227.00","185,386.60","65,506.20","136,689.00","153,657.80","173,488.70",,"1,786,281.70","171,237.90","174,578.80","190,174.20","179,583.30","181,425.40","172,031.70","178,589.70","158,201.80","131,592.80","149,404.30","169,898.80","197,241.60",,"2,053,960.30","192,862.90","161,616.80","176,180.50","116,975.40","172,653.30","176,694.00","179,422.20","82,927.00","118,131.90","148,416.00","150,250.90","148,543.00",,"1,824,673.90","197,182.10","172,517.00","199,088.50","190,712.10","133,607.80","154,685.10","178,682.30","194,137.60","162,602.30","150,994.90","193,212.30","186,911.10",,"2,114,333.10","162,216.50","178,992.40","193,473.20","177,889.20","156,768.00","149,154.80","183,730.00","177,821.80","68,214.40","122,496.80","171,627.20", -   ,,"1,742,384.30"
,,Fractionation Yield,"-1,625,776.60","-1,480,065.70","-1,568,293.00","-1,350,744.80","-1,546,718.80","-1,409,688.80","-1,662,170.90","-1,619,028.90","-1,564,924.10","-1,725,769.10","-1,644,901.10","-1,762,419.90",,"-18,960,501.70","-1,840,359.50","-1,657,296.90","-1,934,766.30","-1,765,047.10","-1,586,517.90","-1,661,892.10","-1,893,479.40","-1,988,318.60","-1,674,950.80","-2,034,022.70","-2,014,344.30","-2,153,507.90",,"-22,204,503.50","-2,117,847.30","-1,765,853.60","-2,035,039.80","-1,878,506.20","-1,997,738.50","-1,930,311.00","-1,894,402.40","-2,101,929.20","-1,756,764.80","-1,938,735.40","-2,010,350.30","-2,065,935.30",,"-23,493,413.80","-1,907,913.60","-2,009,631.60","-1,998,781.10","-1,865,283.20","-1,769,805.40","-1,938,348.90","-1,983,566.90","-1,865,775.40","-1,832,657.90","-2,052,294.10","-1,985,818.90","-2,049,638.60",,"-23,259,515.60","-2,182,010.20","-1,890,712.70","-2,131,173.60","-1,971,493.50","-2,044,952.40","-1,820,526.50","-2,100,271.60","-1,843,264.70","-1,689,203.10","-1,987,846.70","-1,958,396.90","-2,100,736.80",,"-23,720,588.70","-2,233,101.20","-2,035,663.90","-2,237,375.60","-2,090,689.90","-2,049,087.70","-2,166,889.20","-2,226,689.00","-2,132,282.90","-1,867,473.50","-2,228,826.40","-2,201,569.50","-2,177,244.40",,"-25,646,893.20","-2,350,420.70","-1,934,616.20","-2,320,405.70","-2,100,345.90","-1,895,823.30","-2,049,611.20","-2,240,016.10","-2,267,569.20","-1,848,922.30","-2,487,137.30","-2,423,637.20", -   ,,"-23,918,505.10"
,,Refinery Process,"43,243.40","50,604.50","50,536.80","52,901.90","62,855.50","60,381.00","67,641.40","72,777.30","66,026.50","79,666.70","64,588.40","72,084.30",,"743,307.70","83,323.30","79,127.50","88,428.10","35,660.40","24,762.40","60,874.70","63,126.70","63,824.40","70,131.80","68,608.80","67,921.20","67,614.50",,"773,403.80","62,116.50","53,442.80","67,123.70","69,488.10","81,544.80","76,046.20","71,898.70","68,720.20","55,200.30","66,430.40","75,589.00","80,610.90",,"828,211.60","62,909.60","59,337.20","77,413.70","53,241.10","57,483.00","77,931.10","51,926.40","30,426.00","41,162.40","41,852.70","64,542.70","75,510.00",,"693,735.90","74,624.90","64,819.80","75,935.60","81,243.80","73,243.00","67,622.90","69,776.30","71,849.40","20,576.00","35,492.30","49,658.60","69,383.10",,"754,225.70","34,193.40","55,946.40","56,411.30","47,312.90","46,410.70","60,243.80","66,947.90","60,259.30","63,711.70","72,162.80","49,492.10","60,163.00",,"673,255.30","62,361.40","65,912.60","70,674.00","62,934.70","65,843.30","64,038.60","63,707.90","63,448.80","45,057.10","6,057.90","52,262.40", -   ,,"622,298.70"
,,Total Production,"345,815.80","276,806.20","392,325.90","422,942.80","284,411.00","330,098.30","305,907.20","270,684.30","321,405.50","179,334.80","305,419.00","341,740.40",,"3,776,891.20","185,685.40","216,308.50","130,950.40","125,758.30","227,297.80","129,407.50","98,221.50","117,815.20","286,407.30","103,548.10","90,639.30","87,835.60",,"1,799,874.90","72,049.60","71,412.40","148,630.80","163,163.30","40,874.10","107,483.40","114,055.20","74,109.40","174,005.00","39,104.00","105,789.20","129,732.50",,"1,240,408.90","206,285.10","55,496.50","146,088.30","171,379.00","260,372.60","53,975.30","68,442.30","116,564.30","9,097.50","-76,435.80","55,811.90","110,504.50",,"1,177,581.50","28,056.50","10,422.40","48,382.10","94,716.70","45,720.90","157,267.50","-43,114.00","96,513.00","-24,774.00","2,649.80","70,169.30","-28,847.90",,"457,162.30","-105,080.20","-20,284.60","72,741.60","118,120.80","-52,851.40","-142,965.50","-24,994.90","2,454.90","250,897.10","-21,550.40","-82,556.90","46,014.90",,"39,945.40","-138,737.60","94,341.80","-75,356.60","-50,999.50","-103,036.60","-107,887.90","140,694.90","49,613.90","142,797.10","-369,987.30","-199,455.20", -   ,,"-618,013.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Intra-Alberta Receipts,"17,254.90","30,785.00","44,281.10","51,888.40","68,518.30","59,295.30","70,055.90","68,740.50","59,875.20","35,915.20","21,842.10","38,212.40",,"566,664.30","45,167.80","50,363.30","67,043.20","49,835.20","31,665.80","60,306.10","57,710.20","65,578.00","70,339.90","36,364.20","47,693.50","48,670.50",,"630,737.70","62,097.00","63,971.20","68,278.20","76,661.20","80,715.00","106,656.40","91,654.30","91,036.80","54,223.90","52,417.60","57,673.30","67,397.30",,"872,782.20","63,336.10","54,189.10","78,219.20","73,948.60","74,928.70","89,551.40","67,573.40","50,186.40","78,503.90","70,079.40","84,650.90","77,423.50",,"862,590.60","86,560.70","66,513.60","85,422.40","100,385.00","107,167.30","101,171.10","96,977.30","75,374.40","64,074.30","34,074.40","33,119.80","66,579.00",,"917,419.30","52,708.90","69,581.70","75,538.80","85,278.80","92,829.20","87,302.10","87,412.20","66,797.40","61,492.50","59,897.00","110,445.00","67,506.50",,"916,790.10","73,882.40","67,262.00","80,375.80","79,476.90","89,252.60","86,393.40","92,004.00","86,837.00","53,323.60","28,785.30","57,243.80", -   ,,"794,836.80"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flare/Fuel/Vent, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   ,4.7, -   , -   , -   , -   ,12, -   ,,16.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imports,"245,347.20","220,489.30","241,886.80","222,414.00","225,886.70","150,704.00","197,400.40","267,597.70","264,970.10","315,328.70","317,849.90","344,499.60",,"3,014,374.40","338,638.80","316,960.20","292,968.10","344,520.20","354,168.10","344,390.80","386,721.50","373,425.90","374,764.70","399,367.70","368,410.80","434,975.90",,"4,329,312.70","410,145.60","356,888.30","410,837.10","393,969.90","357,776.00","377,502.90","375,187.70","368,297.20","377,200.70","403,111.40","392,764.80","408,977.70",,"4,632,659.30","394,336.50","378,081.10","407,298.20","351,478.60","340,526.00","368,788.70","359,366.80","369,013.90","280,886.50","310,188.00","355,881.50","414,497.40",,"4,330,343.20","441,977.10","381,588.00","427,866.80","407,951.00","427,040.70","371,251.40","375,008.20","392,065.70","325,456.40","271,604.50","368,659.80","390,030.70",,"4,580,500.30","394,986.50","352,280.80","388,231.30","383,859.80","391,806.60","422,187.50","397,932.10","408,860.40","362,393.00","417,707.50","400,897.50","403,001.40",,"4,724,144.40","270,726.70","131,676.20","276,381.00","309,134.70","338,550.10","395,202.40","407,614.60","425,954.10","400,243.50","406,748.80","392,111.00", -   ,,"3,754,343.10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
